"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"04","Arizona","04001","Apache","2019","222","",
"04","Arizona","04003","Cochise","2019","457","",
"04","Arizona","04005","Coconino","2019","271","",
"04","Arizona","04007","Gila","2019","191","",
"04","Arizona","04009","Graham","2019","128","",
"04","Arizona","04011","Greenlee","2019","13","",
"04","Arizona","04012","La Paz","2019","44","",
"04","Arizona","04013","Maricopa","2019","17,043","",
"04","Arizona","04015","Mohave","2019","743","",
"04","Arizona","04017","Navajo","2019","238","",
"04","Arizona","04019","Pima","2019","3,082","",
"04","Arizona","04021","Pinal","2019","1,360","",
"04","Arizona","04023","Santa Cruz","2019","202","",
"04","Arizona","04025","Yavapai","2019","531","",
"04","Arizona","04027","Yuma","2019","700","",
"06","California","06001","Alameda","2019","7,436","",
"06","California","06003","Alpine","2019","Suppressed","",
"06","California","06005","Amador","2019","169","",
"06","California","06007","Butte","2019","751","",
"06","California","06009","Calaveras","2019","198","",
"06","California","06011","Colusa","2019","103","",
"06","California","06013","Contra Costa","2019","5,887","",
"06","California","06015","Del Norte","2019","117","",
"06","California","06017","El Dorado","2019","539","",
"06","California","06019","Fresno","2019","6,589","",
"06","California","06021","Glenn","2019","118","",
"06","California","06023","Humboldt","2019","612","",
"06","California","06025","Imperial","2019","1,195","",
"06","California","06027","Inyo","2019","92","",
"06","California","06029","Kern","2019","4,275","",
"06","California","06031","Kings","2019","747","",
"06","California","06033","Lake","2019","505","",
"06","California","06035","Lassen","2019","101","",
"06","California","06037","Los Angeles","2019","46,725","",
"06","California","06039","Madera","2019","779","",
"06","California","06041","Marin","2019","539","",
"06","California","06043","Mariposa","2019","62","",
"06","California","06045","Mendocino","2019","488","",
"06","California","06047","Merced","2019","1,687","",
"06","California","06049","Modoc","2019","67","",
"06","California","06051","Mono","2019","48","",
"06","California","06053","Monterey","2019","1,629","",
"06","California","06055","Napa","2019","495","",
"06","California","06057","Nevada","2019","218","",
"06","California","06059","Orange","2019","8,318","",
"06","California","06061","Placer","2019","1,036","",
"06","California","06063","Plumas","2019","86","",
"06","California","06065","Riverside","2019","9,235","",
"06","California","06067","Sacramento","2019","8,982","",
"06","California","06069","San Benito","2019","340","",
"06","California","06071","San Bernardino","2019","10,871","",
"06","California","06073","San Diego","2019","9,851","",
