"","tract","age_25to34_10_pct","edu_bs_10_pct","owns_10_pct","Hhval_med_10","inc_Hhmed_10","HH_nonfam_10_pct","pov_fams_10_pct","prof_ind_10_pct","rent_medgross_10","white_nonlat_10_pct"
"1","13013180205",14.4,10,14.61,131600,38077,37.62,19.6,1.43,728,69.7
"2","13015960802",13.5,8.5,11.55,78800,38929,30.38,18,13.91,728,83.3
"3","13045910501",11.9,6.1,7.71,123400,35810,37.59,15,9.21,771,51.6
"4","13045910502",12.2,7.4,6.07,96700,17649,49.11,33.5,4.11,717,24.8
"5","13045910600",16.4,18.7,10.77,151800,47016,35.55,12.7,10.81,753,65.1
"6","13063040202",20.6,10.3,9.84,112700,30946,31.45,20.2,6.8,885,2.3
"7","13063040203",18.1,12.6,7.45,100900,32289,47.31,20.3,10.15,906,2.1
"8","13063040204",22.9,14.9,15.6,154000,40287,52.84,22.9,19.11,749,4.7
"9","13063040302",19.8,5.7,9.52,99600,31182,37.65,30.9,9.9,739,15.1
"10","13063040303",16.7,7,9.85,98200,33782,29.3,21.4,11.36,819,18.1
"11","13063040306",15.8,9.2,7.68,98500,25038,40.2,38.6,12.45,735,4.7
"12","13063040307",14.9,4.8,9.55,112100,36763,29.83,24.8,6.86,975,20.5
"13","13063040308",21.6,4.4,10.64,95900,29921,41.24,30.4,12.15,842,23.7
"14","13063040407",13.5,5.7,10.87,116200,39913,30.82,12.2,7.09,842,27.8
"15","13063040408",14.3,12.6,9.22,118100,40251,36.2,15.7,4.72,743,19.5
"16","13063040409",14.7,9.9,10.14,131900,53980,20.47,10.5,6.17,972,16.3
"17","13063040410",14.6,6.4,11.08,120800,41120,27.79,18.5,9.14,744,12.7
"18","13063040411",15.9,18.2,6.21,145800,60777,26.17,7.1,9.84,1385,18.3
"19","13063040412",13,16.1,9.63,113400,47243,30.96,7.8,7.7,828,27.1
"20","13063040413",13.6,12.2,9.18,125300,47219,32.67,11.8,5.41,1130,11.8
"21","13063040414",11.6,3.1,20.44,123400,40982,36.66,1.3,10.45,851,60.8
"22","13063040415",25.7,7.7,6.47,100200,33118,46.34,21.9,8.74,836,10.9
"23","13063040416",14.3,2.1,18.12,108900,32782,37.25,14.9,11.99,1036,25.8
"24","13063040417",21.4,13.2,10.92,109100,38514,34.76,12.6,12.71,893,6.9
"25","13063040509",14.3,18.8,9.8,142800,61630,29.42,2.8,12.15,954,5.4
"26","13063040510",13,13.6,11.34,121800,39655,28.01,17.5,8.76,893,7.5
"27","13063040512",16.4,21.8,9.12,137600,39078,38.61,14.3,6.06,697,14.2
"28","13063040513",11,16.3,10.14,141100,62500,23.84,4.7,6.4,1289,10.7
"29","13063040514",15.9,14.9,7.63,129100,36536,38.19,25.4,10.82,819,5.3
"30","13063040515",11.8,14.4,10.53,117200,43894,24.57,11.5,8.49,957,5.7
"31","13063040516",10.1,11.5,9.55,121000,45833,31.62,10.3,8.41,1002,11.7
"32","13063040518",13.4,7.5,10.32,106300,34453,25.75,23.2,8.44,897,10.9
"33","13063040519",22,10.5,0.66,126900,32122,56.37,16,11.05,777,3.6
"34","13063040520",20.9,13.8,8.58,125700,36333,55.9,7.3,10.54,789,0.9
"35","13063040521",10.1,6.4,14.54,107500,36946,30.75,18.9,4.9,1118,11.3
"36","13063040522",20.3,7.8,11.14,112300,31517,44.97,27.7,5.1,746,5.6
"37","13063040523",15.1,15.2,14.5,112400,33904,45.38,6.6,13.93,782,10.8
"38","13063040524",10.7,12.8,9.27,123700,50093,27.82,11,12.84,878,7.2
"39","13063040525",14.5,18.8,16.84,112100,44423,30.54,3.4,6.3,1194,13.1
"40","13063040526",13.1,7.2,9,115200,48105,35.4,12.7,10.36,1147,11
"41","13063040606",15.6,10.3,14.08,119400,44949,29.28,5.1,9.93,1015,37.8
"42","13063040608",15.4,16.8,7.03,177900,66677,26.4,6,9.93,1154,19.5
"43","13063040609",18.3,16.6,7.42,149000,52931,32.18,9.8,9.81,1055,28.6
"44","13063040611",18.1,9.6,11.15,105700,33990,39.43,23,6.78,735,14.3
"45","13063040612",24,9.6,11.77,109000,41831,33.49,19.4,16.4,933,23.6
"46","13063040613",16.2,19.1,10.53,170800,62564,25.95,8,9.89,1307,27.3
"47","13063040614",5.9,20.8,7.27,202600,70404,30.29,1.8,10.59,1029,57.8
"48","13063040615",19.4,26.3,17.19,140100,54375,21.29,12.6,3,883,14.1
"49","13063040616",18.4,18.2,7.58,126900,43998,35.19,8.2,7.42,935,14.2
"50","13063040617",21.1,9.8,24.03,NA,28341,26.76,11.5,9.35,482,24.7
"51","13063040619",9,8.2,15.28,137600,40231,35.86,21.8,14.37,580,10
"52","13063040620",7.6,18.8,13.59,171100,57462,31.4,8.3,18.97,1083,12.1
"53","13063040621",12.2,17.4,8.98,135900,58451,24.55,8.2,8.66,888,12.4
"54","13063040622",14.7,11.2,10.92,116400,46498,26.78,8.9,13.23,1124,18.9
"55","13063980000",NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA
"56","13067030101",11.3,18.2,9.15,176100,73119,22.42,2.2,7.58,999,80.9
"57","13067030103",13.7,21.4,6.63,201300,76490,22.22,4.1,13.77,1133,64.4
"58","13067030104",14.7,6.1,9.16,150900,43313,40.81,12.2,7.29,724,64.5
"59","13067030106",20.5,18.2,9.42,152700,44459,37.67,16.7,10.18,782,50.1
"60","13067030107",10.9,26.1,12.2,198900,62689,23.12,4.6,11.47,1589,68.7
"61","13067030209",9,30.4,6.42,209800,78529,19.42,5.3,18.78,1235,74
"62","13067030214",11.7,27.6,8.46,209600,80991,22.71,4.8,12.86,1223,76.9
"63","13067030215",8.1,31.7,8.54,194600,83333,21.86,8.6,12.72,1254,67.7
"64","13067030218",8.8,37.9,9.34,346000,94674,14.52,0,10.09,NA,69.2
"65","13067030219",7,32.2,4.68,299900,114208,9.57,2.5,13.42,1500,85.8
"66","13067030220",3.8,40.4,18.04,170300,78774,13.08,1.9,15.73,NA,90.3
"67","13067030222",8.2,29.9,6.71,189900,83500,12.72,6.8,16.97,1203,73.6
"68","13067030223",11.8,26.9,10.56,174100,66250,43.56,5.5,13.64,1003,65.4
"69","13067030224",17.3,31.9,10.53,207000,72962,18.5,2.9,14.51,1131,54.7
"70","13067030226",14.1,37.1,6.15,188100,77133,21.44,5.7,14.03,1094,59.7
"71","13067030227",18.6,15.8,10.19,154300,54695,33.93,3.2,15.4,1078,61.3
"72","13067030228",15,26.6,10.36,205800,47983,58.87,10.6,9.67,906,72
"73","13067030229",11.7,23.6,12.59,205300,49911,38.87,6.4,9.8,914,68.7
"74","13067030230",16.4,33.1,5.34,284300,62859,31.13,11.3,13.53,1027,58.1
"75","13067030231",5.6,45.8,5.49,278300,96033,21.31,5.6,14.06,1207,90.8
"76","13067030232",8.5,32.5,7.67,221200,109452,18.16,5,14.85,859,53.8
"77","13067030233",6.8,37.4,8.2,223500,98144,22.3,3.5,11.33,NA,80.3
"78","13067030234",7.2,24,9.68,259100,97788,14.51,2.8,13.15,1625,79.8
"79","13067030235",6,36.2,5.64,276500,92014,12.9,4.5,20.51,1967,77.8
"80","13067030236",5.2,41.1,5.37,327700,136184,4.88,1,9.81,1571,90.7
"81","13067030238",6.9,34.8,5.42,296200,92976,14.16,3.2,14.63,1083,81
"82","13067030239",5.3,39.5,5.55,361500,110283,12.38,5.3,19.36,1417,81.8
"83","13067030310",12,30.2,8.07,182800,78620,13.86,5.4,13.23,1366,67.2
"84","13067030311",14.6,34.2,9.98,210400,89755,17.57,2.3,17.1,1263,73.7
"85","13067030312",14.7,29.4,6.33,196400,74637,27.09,5.5,14.8,1317,66
"86","13067030313",10.5,27.1,9.06,182400,73904,20.09,4.8,15.97,1241,69.6
"87","13067030314",10.7,36,7.31,272400,98108,20.24,4.1,15.17,1275,74.8
"88","13067030318",4,40.3,4.74,476500,134239,16.52,1.3,23.92,2000,91.1
"89","13067030319",3.8,38.7,8.15,287900,89886,34.22,6.8,15.99,1250,88.1
"90","13067030320",20.3,40.2,6.87,326900,74836,37.27,2.5,18.64,1072,66.8
"91","13067030322",10.3,40.4,8.02,233300,90515,17.78,3.7,15.26,1522,82.7
"92","13067030324",11.2,26.9,6.27,191500,75481,24.54,0,17.31,NA,79.7
"93","13067030326",5,34.1,7.66,364400,115750,9.15,0,20.68,1667,75.7
"94","13067030327",10.4,37.5,7.44,223000,105000,12.4,0.1,24.22,1535,80
"95","13067030328",6.4,41.4,6.36,287700,101367,15.01,2.6,19.81,1478,94.6
"96","13067030329",10,35.8,5.63,245500,86020,18.32,1.8,21.09,1413,75.6
"97","13067030330",5.1,35.6,6.81,277000,102695,14.01,4,19.64,1866,73.8
"98","13067030331",8.3,47.1,5,294000,106174,10.53,0.9,20.21,1917,87.4
"99","13067030332",6.1,37,8.19,320400,120347,17.87,2.9,21.94,2000,79.9
"100","13067030333",5.9,38.4,7.01,336900,110375,11.58,2.6,16.35,1744,85.3
"101","13067030334",6.9,41.5,7.49,356700,103200,16.53,0,23.29,1458,94.7
"102","13067030335",6.1,43.2,5.17,322700,113929,12.54,2.8,22.1,2000,90.3
"103","13067030336",4.3,42.8,5.72,464100,145556,9.81,2.1,25.79,2000,89.9
"104","13067030337",4.2,43.7,6.18,384800,121335,15.31,1,20.06,2000,80.1
"105","13067030339",51.1,45.2,3.61,190600,54455,71.03,7.8,19.46,948,57.4
"106","13067030340",8,41,9.51,318300,121636,11.82,0.9,14.68,1793,91.6
"107","13067030341",11.4,39.5,7.34,214800,87150,18.28,9.5,14.91,863,75.9
"108","13067030342",9.2,42.8,9.08,313800,115667,17.96,2.4,15.31,2000,84.8
"109","13067030343",3,42.4,4.4,370100,119349,5.82,1.1,20.58,NA,81.9
"110","13067030344",21.1,31.1,4.56,113900,42323,48.79,26.2,9.11,925,25.3
"111","13067030345",47.1,39,2.89,159400,53074,63.77,11.8,33.05,961,33.8
"112","13067030405",29.2,30.6,6.28,141800,47262,53.91,15.8,21.55,897,43.7
"113","13067030407",15.3,44.4,9.01,203600,74612,37.81,2.1,24.56,969,74.8
"114","13067030408",17.3,29.8,9.95,236300,65972,37.41,4.3,17.49,929,49.2
"115","13067030409",5.2,43.8,10.11,304600,114338,18.12,0,14.25,NA,78.7
"116","13067030410",12.5,36.1,5.64,249400,46602,43.47,6.4,18.65,871,61
"117","13067030411",26.2,9.4,1.87,115100,33519,53.51,27,7.9,832,5.5
"118","13067030412",23.3,21.2,8.99,87900,40119,50.75,17.7,14.45,868,21.3
"119","13067030413",29.2,29.7,2.93,120900,41127,50.07,19.1,20.5,941,24.6
"120","13067030414",23.4,16.1,4.4,NA,30409,48.02,43.1,17.66,860,15.3
"121","13067030502",17.6,32.4,9.13,231200,73787,22.78,2.5,16.3,1003,66.5
"122","13067030504",19.1,32.3,9.33,173900,72720,41,10.4,23.35,881,54.6
"123","13067030505",21.2,22.3,8.6,142200,33655,44.27,15.6,12.42,914,33.5
"124","13067030506",20.1,22,8.36,165500,47212,46.21,2.7,18.04,933,64.7
"125","13067030507",10,32.1,8.4,194800,66716,32.27,2.2,15.19,1418,70.6
"126","13067030601",28.4,31.3,5.65,197900,53414,52.64,14.9,18.38,959,48.3
"127","13067030602",12.5,35.3,8.01,288800,68071,46.96,4.9,13.24,934,87.3
"128","13067030700",18.7,12.3,6.11,163600,34583,37.66,34.1,16.25,818,30.4
"129","13067030800",22.2,14.9,5.67,140000,28710,51.52,22.8,9.26,779,45.5
"130","13067030901",9.7,34.8,7.54,241700,67433,33.02,7.9,16.82,827,65.7
"131","13067030902",29.1,14.9,7.2,170900,37404,54.92,18.5,18.28,693,32.3
"132","13067030904",22.8,18.3,8.47,134600,41146,36.27,22.2,4.36,967,21.1
"133","13067030905",20.5,13.7,11.44,163100,52866,29.63,17.2,13.28,1284,31.5
"134","13067031001",16.2,8.8,12.05,112200,31780,27.38,26.5,18.06,711,37.7
"135","13067031002",22.1,11.8,6.91,138800,32170,36.26,17.3,17.24,756,23.4
"136","13067031004",15.6,6.5,8.18,129900,36687,29.23,22.8,8.92,920,24.2
"137","13067031005",14,14.4,9.29,159600,45114,32.85,11,12.19,1099,26.9
"138","13067031101",17.5,12,9.11,155800,39719,49.15,21.3,10.96,853,33
"139","13067031106",14.5,20.1,12.42,165500,64545,37.06,3.2,13.72,838,40.8
"140","13067031108",21.6,31.3,7.53,126500,40852,50.52,13,17.63,833,37.1
"141","13067031110",24.4,21.8,7.48,180200,49022,37.61,5.2,19.98,856,57.2
"142","13067031111",31.7,43.2,10.11,171100,62813,59.39,11.4,20.38,914,68.6
"143","13067031112",17.9,38.6,7.37,270300,69737,44.05,5.2,17.06,1007,69.8
"144","13067031113",23.5,35.9,20.04,237200,35955,78.7,0,18.81,639,27.8
"145","13067031114",31.1,29.9,4.57,143300,43359,54.27,11.8,11.55,885,32.6
"146","13067031115",15.3,23.2,17.46,178400,57773,34.59,18.1,15.74,1051,43.1
"147","13067031116",18.4,8,13.91,138100,40456,36.11,30.1,10.17,764,24.7
"148","13067031117",18.1,27.7,7.52,222900,79633,26.03,7.2,24.99,1336,67.6
"149","13067031118",17.8,36.3,7.54,257200,75110,34.42,10.1,13.67,1138,63.8
"150","13067031205",34,42.9,6.14,260200,74375,51.2,3.9,19.91,974,58.1
"151","13067031206",27,36.8,5.95,293900,67455,50.13,3.1,14.38,942,45.4
"152","13067031207",36.6,39.4,6.14,224000,53932,70.85,5.5,21.3,952,62.7
"153","13067031208",33.3,37.6,6.91,324300,61903,63.5,3.7,21.23,1030,67.8
"154","13067031209",11.7,48.8,6.67,399500,120036,27.45,6.5,18.81,1158,80.7
"155","13067031211",41.2,32.5,2.38,261000,48750,77.07,0,17.59,977,50.5
"156","13067031212",0.5,43.1,10.62,695400,128520,20.98,4.8,24.52,2000,93.7
"157","13067031306",14.1,16.1,10.49,145100,46783,28.31,11.1,6.41,1039,47.9
"158","13067031307",11.6,29.5,8.15,201500,74266,22.04,2.9,12.62,1219,66.5
"159","13067031308",10,13.3,12.09,150000,43272,32.14,11.6,15.67,815,34.7
"160","13067031309",12,12.4,9.47,139900,54964,24.26,4.3,9.8,1005,25.2
"161","13067031310",21,12.4,9.72,126600,31048,44.03,27.6,5.01,805,3
"162","13067031311",20.8,18.2,8.13,155300,40472,34.69,18.7,18.8,796,6.7
"163","13067031312",18,24.9,8.06,147800,50040,45.05,17.9,16.36,959,28.7
"164","13067031313",20.4,43.2,5.52,292400,104014,27.28,3.7,25.4,1161,51.4
"165","13067031404",11.3,22.3,10.51,170800,67824,32.87,0.9,13.41,858,50.9
"166","13067031405",15.3,20.4,9.29,170900,56076,35.93,5.5,14.88,1110,38.9
"167","13067031406",24.8,15.9,8.54,122200,39708,36.99,6.8,12.91,943,23
"168","13067031408",14.7,17.6,9.4,155500,46000,25.6,11,14.59,842,39.2
"169","13067031409",16.6,16.6,9.99,150400,49003,21.59,9.8,11.88,978,35.5
"170","13067031503",12.6,18.2,12.6,160700,54195,22.35,9.4,8.95,1096,27.7
"171","13067031505",13.8,25.4,6.83,160900,62399,24.07,7.3,7.32,967,50.3
"172","13067031506",10.1,23,15.18,155900,61431,25.72,7.5,8.38,1283,47.9
"173","13067031507",8.5,15.2,11.47,141700,47708,31.64,16.3,9.69,994,23.8
"174","13067031508",7.2,18.3,6.52,184500,69814,19.06,4.1,14.58,1511,49.6
"175","13067031509",10,18.9,6.95,171500,74069,15.18,4.7,11.65,1171,45.1
"176","13077170305",20.1,12.7,5.58,139300,40022,42.36,14.2,17.11,870,53.7
"177","13077170601",13.7,6.6,7.67,123200,27455,33.84,27.1,5.51,668,37.3
"178","13089020100",10.6,36.9,9.8,609400,132917,44.03,0,23.89,1144,74.5
"179","13089020200",24.6,34.6,10.87,486000,66838,64.65,0,23.74,802,85.3
"180","13089020300",15,41,9.41,398800,105000,45.51,1.3,22.4,995,77.4
"181","13089020400",23.5,34.4,9.11,390000,78015,59.8,0,23.39,1005,88.5
"182","13089020500",27.2,17.3,13,228100,49679,64.22,18.2,11.72,902,33.8
"183","13089020600",27.8,28.5,9.76,207800,43996,58.08,33,17.88,694,28.7
"184","13089020700",23.2,24.7,13.87,232900,40518,60.47,3.2,16.14,827,32.3
"185","13089020801",25.5,32,9.39,294500,62250,47.91,4.6,15.97,1169,46.5
"186","13089020802",17.4,22.7,9.59,263100,41607,45.01,18.9,18.2,984,29.1
"187","13089020900",21.4,30.6,9.18,225300,37471,46.58,19.5,20.61,778,40.2
"188","13089021101",8.7,47.8,7.8,519400,138456,11.48,3.4,22.28,1372,75.8
"189","13089021102",22.2,43.8,9.25,474200,74453,55.39,2.4,21.38,1030,73.5
"190","13089021202",12.1,45.6,4.89,390800,114279,37.02,3.7,26.58,1164,87.7
"191","13089021204",30.9,3.1,2.71,38500,26584,39.28,38,10.82,859,3.2
