"","tract","age_25to34_pct","edu_BS_pct","owns_pct","Hhval_med","inc_Hhmed","HH_nonfam_pct","pov_fams_pct","prof_ind_pct","rent_medgross","white_nonlat_pct"
"1","13013180205",13.6,10.5,42.05,106100,40139,39.31,17.7,11.59,950,62.5
"2","13015960802",12.9,5.6,63.56,60500,33393,35.29,21.7,14.73,904,83.8
"3","13045910501",13.7,8.6,30.12,88100,35267,45.93,14.7,7.99,752,43.8
"4","13045910502",17.7,2.1,8.89,83300,24367,48.7,32.5,11.88,645,19.9
"5","13045910600",14.6,17.2,69.24,119400,53269,23.95,19.2,7.52,787,65.7
"6","13063040202",18.2,7.9,33.3,82500,28105,33.62,30,10.59,886,4.9
"7","13063040203",20.7,13.4,24.79,74900,32866,44.15,21.1,12.65,874,1.7
"8","13063040204",22,12.7,35.92,102500,35667,54.63,17.7,12.89,717,2.4
"9","13063040302",14.6,6.4,44.86,55400,32754,39.51,30.9,14.22,784,17.1
"10","13063040303",15.3,13.7,62.11,63300,32820,25.01,31.7,6.34,872,13.2
"11","13063040306",25.6,6.8,14.4,14200,25120,24.65,35.2,3.21,779,3.7
"12","13063040307",13.4,7.6,57.97,60100,36056,28.01,24,10.59,951,18.9
"13","13063040308",17.2,7.4,39.91,61800,24404,51.67,25.1,10.78,804,17.8
"14","13063040407",15,9.3,61.83,84700,45271,30.93,13.2,7.04,1015,11.6
"15","13063040408",12.1,8.1,40.13,98800,36975,35.13,14.7,7.23,799,17.3
"16","13063040409",13.3,11.5,59.37,84400,41670,25.53,5.9,10.02,940,13.6
"17","13063040410",9.8,10.6,64.89,85600,44730,40.34,16.2,14.06,849,14.3
"18","13063040411",11.7,22.1,84.6,108900,69105,23.14,5.1,6.44,1129,11.3
"19","13063040412",24.2,10.3,43.58,71200,37870,42.37,26.4,10.2,896,9.3
"20","13063040413",14.6,21,69.75,88400,51822,32.24,16.7,7.46,1078,10.8
"21","13063040414",20.5,6.8,28.85,57000,32083,24.83,16.6,19.11,926,24.5
"22","13063040415",18.8,11.7,20.13,58200,36528,36.19,40,8.48,832,5.3
"23","13063040416",14.4,4.4,59.89,68300,44900,30,16.6,9.11,965,14
"24","13063040417",14.6,9.2,20.68,68400,32188,40.84,39.3,11.51,882,10.7
"25","13063040509",12.4,11.4,63.64,80100,60710,25.11,11,11.68,1108,3.8
"26","13063040510",15.6,10.5,43.27,82600,37292,36.82,19.8,24.51,1010,7.2
"27","13063040512",12.3,14.2,49.09,91800,37578,32.91,17,5.66,779,3.2
"28","13063040513",6.7,10.3,65.37,85600,61350,25.69,10.9,14.64,1182,11.2
"29","13063040514",10.8,14.9,40.41,83800,41989,31.68,24.2,10.4,941,3.7
"30","13063040515",15.4,8.5,44.88,69700,40560,34.33,19.4,9.23,967,4.5
"31","13063040516",14,9.5,46.42,75100,33000,35.78,35.5,10.39,803,7.6
"32","13063040518",15.6,8.8,44.99,67600,40308,21.95,19.9,5.05,942,10.1
"33","13063040519",20.7,15.8,3.58,NA,29789,67.25,31,12.3,759,2.8
"34","13063040520",22.1,14.3,28.03,80900,30172,61.4,38.9,10.63,787,0.2
"35","13063040521",12.8,9.3,45.46,51400,33456,25.95,25.8,9.68,969,8.8
"36","13063040522",17.3,12.6,30.98,58500,32048,39.77,29.4,10.99,781,9
"37","13063040523",13.3,15.9,52.75,82000,36250,29.05,26.8,11.42,859,8.1
"38","13063040524",17,13,49.12,74800,43188,35.19,12.3,8.73,886,7.2
"39","13063040525",12.4,14.8,55.57,65700,42401,23.68,23,12.28,1134,4.2
"40","13063040526",11.7,14.6,43.45,76900,45065,35.28,29.1,5.34,1015,5.3
"41","13063040606",19.6,11.1,64.04,89400,47804,26.23,16.2,1.76,1034,28.1
"42","13063040608",13.9,19.4,71.41,130000,65024,28.51,10.8,5.57,1018,14.3
"43","13063040609",16,14.3,66.66,102600,56347,42.11,3.3,11.65,941,16.8
"44","13063040611",17.3,8.7,27.56,53100,31198,35.12,31.6,4.48,849,14.7
"45","13063040612",16.5,6,36.55,71900,30996,33.35,36.4,7.4,885,19.8
"46","13063040613",9.3,16.7,67.66,119300,51637,19.99,20.1,9.66,1005,26.2
"47","13063040614",6.6,21,79.55,178900,68377,25.12,5.3,12.48,1363,48.4
"48","13063040615",9.4,10.2,57.44,115300,65601,20.23,10,7.17,1183,16.3
"49","13063040616",21.8,19.2,37.27,75500,47890,34.77,22.9,5.85,946,9.4
"50","13063040617",12.8,5.4,70.42,10500,32991,25.72,31.4,21.83,763,34.2
"51","13063040619",10.2,13.5,63.23,103500,55078,34.25,18.8,8.45,903,5.8
"52","13063040620",13.9,14.1,75.6,124300,56694,25.43,10.8,9.89,1242,18.2
"53","13063040621",14.1,16.5,65.11,91200,55927,22.37,12.2,11.64,1113,8.5
"54","13063040622",11.9,13.1,46.46,81700,39381,26.36,21.5,8.95,1023,15.4
"55","13063980000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","13067030101",10.1,21.5,81.06,175900,83750,19.99,13.2,14.39,1288,86.1
"57","13067030103",11.9,29.4,71.91,185600,74049,25.87,5.5,10.2,1335,58.7
"58","13067030104",14.9,19.6,53.46,139900,49256,41.89,12.6,20.54,948,66.3
"59","13067030106",18,17.4,59.08,136600,48926,33.76,13.4,10.63,1033,48.1
"60","13067030107",13.8,31,82.83,191500,82769,20.39,1.5,12.2,1514,50.5
"61","13067030209",7,33.7,93.43,198500,82500,19.9,0.6,14.26,1485,66.4
"62","13067030214",11.1,37.5,86.1,189400,78397,26.61,4.1,16.25,1186,74.1
"63","13067030215",9.8,34.7,85.4,182300,77750,21.59,4.7,18.75,1262,67.7
"64","13067030218",8.4,34,90.4,335500,140592,4.83,2.7,15.64,1235,71.1
"65","13067030219",5.7,33.7,92.53,297500,106307,13.73,4.5,10.19,1814,77.5
"66","13067030220",13.8,22.8,79.51,168500,83140,14.73,1.8,19.4,1395,66.5
"67","13067030222",10.3,37.5,86.3,206200,85139,16.88,6.6,13.09,1379,83.9
"68","13067030223",12.8,26.4,61.59,161900,65286,35.09,0,10.47,1136,52.7
"69","13067030224",13.9,28.6,66.6,186000,68097,26.75,5.5,10.27,1567,55.6
"70","13067030226",16.8,35.4,69.86,168100,77524,31.67,4.5,14.01,1186,53.6
"71","13067030227",16.7,18,61.7,129600,61715,36.42,4.7,11.36,1163,51.2
"72","13067030228",18.2,24.7,35.88,205900,40941,54.86,12,11.4,1064,61.4
"73","13067030229",13.3,25.6,50.16,182500,51004,47.74,8.6,14.39,1011,71.2
"74","13067030230",17.5,28.4,56,205300,66020,38.14,5,11.85,1068,52.5
"75","13067030231",6.5,34.8,93.67,271600,93684,14.5,1.8,6.92,1573,83.5
"76","13067030232",9.4,29.6,87.45,220400,105833,17.09,0.9,13.68,1456,52.2
"77","13067030233",9.8,33.9,92.06,221500,101856,22.63,2.2,14.68,1410,63.7
"78","13067030234",9.2,28.5,95.11,261500,103279,12.15,2.8,10.2,1175,70.1
"79","13067030235",4.4,35.4,95.52,269900,103897,17.2,2.3,19.85,1159,76.8
"80","13067030236",3.1,44.5,95.37,334000,135101,8.15,2.3,11.05,NA,86.5
"81","13067030238",7,39.5,88.13,246100,118407,7.59,2.4,12.45,2000,77.4
"82","13067030239",8.6,36.8,94.07,338400,101853,11.68,3.6,17.35,1422,84.5
"83","13067030310",14.7,22.1,67.59,153500,64359,20.44,5.2,16.96,1222,68.1
"84","13067030311",8,33,84.89,188400,91346,24.11,6,20.53,1246,82.6
"85","13067030312",9.9,33.1,86.36,187100,83028,28.54,0,12.65,1106,75.3
