"occur_date","occur_time","Type","x","y","hour"
2014-12-14,"20:00:00","LARCENY-FROM VEHICLE",-84.39702,33.76269,20
2014-01-01,"18:00:00","LARCENY-FROM VEHICLE",-84.46763,33.76814,18
2014-11-01,"23:00:00","AUTO THEFT",-84.50543,33.69376,23
2014-12-10,"22:00:00","AUTO THEFT",-84.40177,33.73396,22
2014-11-19,"15:30:00","LARCENY-NON VEHICLE",-84.47807,33.78126,15
2014-12-16,"19:00:00","AUTO THEFT",-84.38221,33.73724,19
2014-10-04,"12:00:00","LARCENY-NON VEHICLE",-84.38123,33.83953,12
2014-09-24,"14:00:00","LARCENY-FROM VEHICLE",-84.35831,33.83504,14
2014-09-04,"15:30:00","LARCENY-NON VEHICLE",-84.38023,33.77067,15
2014-08-13,"17:10:00","LARCENY-NON VEHICLE",-84.36278,33.85302,17
2014-08-26,"18:30:00","AUTO THEFT",-84.40288,33.75787,18
2014-08-14,"20:30:00","LARCENY-FROM VEHICLE",-84.37532,33.79393,20
2014-10-01,"0:20:00","BURGLARY-RESIDENCE",-84.3463,33.74892,0
2014-08-12,"17:30:00","BURGLARY-NONRES",-84.37882,33.84989,17
2014-09-23,"12:20:00","LARCENY-NON VEHICLE",-84.49772,33.69651,12
2014-11-01,"18:55:00","AGG ASSAULT",-84.38234,33.68057,18
2014-11-01,"8:00:00","ROBBERY-RESIDENCE",-84.42784,33.74064,8
2014-04-24,"12:20:00","AGG ASSAULT",-84.3631,33.77386,12
2014-05-21,"12:30:00","LARCENY-NON VEHICLE",-84.36202,33.8132,12
2014-06-23,"12:00:00","LARCENY-NON VEHICLE",-84.40588,33.7292,12
2014-05-16,"9:48:00","BURGLARY-RESIDENCE",-84.49063,33.67703,9
2014-05-13,"18:00:00","LARCENY-NON VEHICLE",-84.33806,33.73264,18
2014-05-12,"18:00:00","BURGLARY-RESIDENCE",-84.38184,33.70492,18
2014-12-02,"12:00:00","BURGLARY-RESIDENCE",-84.37816,33.70736,12
2014-05-02,"22:00:00","AUTO THEFT",-84.37412,33.81267,22
2014-11-21,"23:00:00","BURGLARY-RESIDENCE",-84.50745,33.73976,23
2014-12-01,"23:50:00","LARCENY-FROM VEHICLE",-84.40472,33.76004,23
2014-04-20,"4:48:00","AGG ASSAULT",-84.39588,33.71538,4
2014-09-01,"17:40:00","AGG ASSAULT",-84.41764,33.75773,17
2014-08-02,"18:30:00","LARCENY-FROM VEHICLE",-84.38033,33.78528,18
2014-12-16,"16:06:00","BURGLARY-RESIDENCE",-84.42392,33.80569,16
2014-02-26,"23:30:00","LARCENY-FROM VEHICLE",-84.39008,33.75222,23
2014-04-03,"20:20:00","LARCENY-FROM VEHICLE",-84.3767,33.74533,20
2014-03-12,"21:05:00","AGG ASSAULT",-84.45327,33.70081,21
2014-12-04,"23:00:00","AUTO THEFT",-84.47023,33.79988,23
2014-12-21,"15:30:00","BURGLARY-RESIDENCE",-84.35805,33.69307,15
2014-10-01,"16:30:00","LARCENY-FROM VEHICLE",-84.38782,33.78458,16
2014-03-15,"10:30:00","BURGLARY-RESIDENCE",-84.45404,33.76205,10
2014-11-23,"10:00:00","BURGLARY-RESIDENCE",-84.50496,33.77864,10
2014-11-16,"10:49:00","LARCENY-NON VEHICLE",-84.36561,33.77469,10
2014-11-20,"1:00:00","AUTO THEFT",-84.44947,33.79214,1
2014-01-01,"6:00:00","BURGLARY-RESIDENCE",-84.3346,33.74182,6
2014-12-16,"19:00:00","LARCENY-NON VEHICLE",-84.34813,33.75605,19
2014-12-17,"15:00:00","BURGLARY-RESIDENCE",-84.45664,33.78015,15
2014-12-10,"12:00:00","LARCENY-FROM VEHICLE",-84.37758,33.79975,12
2014-10-28,"0:45:00","LARCENY-FROM VEHICLE",-84.47023,33.79988,0
2014-05-31,"18:00:00","BURGLARY-RESIDENCE",-84.47425,33.75381,18
2014-12-05,"3:00:00","LARCENY-FROM VEHICLE",-84.38349,33.72856,3
2014-11-15,"6:45:00","BURGLARY-RESIDENCE",-84.49403,33.6697,6
2014-02-10,"3:00:00","LARCENY-FROM VEHICLE",-84.38153,33.70309,3
2014-11-20,"22:00:00","AUTO THEFT",-84.50433,33.76126,22
2014-12-20,"5:00:00","AUTO THEFT",-84.38649,33.76941,5
2014-12-22,"17:00:00","LARCENY-FROM VEHICLE",-84.35901,33.74745,17
2014-12-28,"23:00:00","LARCENY-FROM VEHICLE",-84.37067,33.79551,23
2014-11-20,"13:00:00","LARCENY-NON VEHICLE",-84.44165,33.7717,13
2014-10-07,"18:00:00","BURGLARY-RESIDENCE",-84.54201,33.70416,18
2014-12-14,"15:25:00","LARCENY-NON VEHICLE",-84.37225,33.77066,15
2014-12-22,"17:00:00","BURGLARY-RESIDENCE",-84.37857,33.77248,17
2014-09-20,"21:30:00","ROBBERY-PEDESTRIAN",-84.50557,33.76011,21
2014-12-12,"23:00:00","LARCENY-FROM VEHICLE",-84.38764,33.75311,23
2014-12-14,"3:55:00","BURGLARY-NONRES",-84.39183,33.74833,3
2014-12-03,"21:00:00","BURGLARY-RESIDENCE",-84.46568,33.70084,21
2014-12-29,"10:15:00","ROBBERY-PEDESTRIAN",-84.437,33.75144,10
2014-02-02,"17:45:00","LARCENY-NON VEHICLE",-84.37484,33.76409,17
2014-01-29,"9:00:00","BURGLARY-RESIDENCE",-84.50853,33.65769,9
2014-12-07,"20:00:00","AUTO THEFT",-84.40902,33.68274,20
2014-12-07,"22:30:00","AGG ASSAULT",-84.35784,33.68834,22
2014-11-05,"15:15:00","LARCENY-FROM VEHICLE",-84.37049,33.77351,15
2014-12-21,"17:00:00","ROBBERY-PEDESTRIAN",-84.34895,33.7542,17
2014-12-31,"22:45:00","AUTO THEFT",-84.38482,33.66822,22
2014-12-08,"3:00:00","AUTO THEFT",-84.41222,33.72746,3
2014-10-01,"0:15:00","LARCENY-NON VEHICLE",-84.3625,33.85088,0
2014-11-15,"1:50:00","AGG ASSAULT",-84.40722,33.68379,1
2014-01-22,"12:00:00","LARCENY-NON VEHICLE",-84.39201,33.7532,12
2014-11-15,"17:00:00","LARCENY-FROM VEHICLE",-84.39779,33.79282,17
2014-03-26,"20:00:00","LARCENY-FROM VEHICLE",-84.35436,33.78452,20
2014-11-18,"0:50:00","AGG ASSAULT",-84.41903,33.71029,0
2014-10-24,"15:25:00","BURGLARY-RESIDENCE",-84.34626,33.75011,15
2014-12-25,"12:30:00","LARCENY-NON VEHICLE",-84.3841,33.83399,12
2014-11-04,"20:00:00","AUTO THEFT",-84.38198,33.75168,20
2014-12-16,"7:00:00","LARCENY-NON VEHICLE",-84.38973,33.72983,7
2014-01-21,"13:00:00","BURGLARY-RESIDENCE",-84.37074,33.71881,13
2014-10-09,"19:17:00","LARCENY-FROM VEHICLE",-84.39054,33.76329,19
2014-06-15,"14:00:00","LARCENY-NON VEHICLE",-84.3759,33.84183,14
2014-11-15,"14:50:00","LARCENY-NON VEHICLE",-84.43407,33.73856,14
2014-11-01,"19:20:00","AUTO THEFT",-84.49384,33.78784,19
2014-12-25,"18:00:00","BURGLARY-RESIDENCE",-84.4747,33.70637,18
2014-12-24,"22:45:00","ROBBERY-PEDESTRIAN",-84.41742,33.75634,22
